"Keyword","LinkedIn","Indeed","SimplyHired","Monster","total2"
"machine learning",5701,3439,2561,2340,14041
"analysis",5168,3500,2668,3306,14642
"statistics",4893,2992,2308,2399,12592
"computer science",4517,2739,2093,1900,11249
"communication",3404,2344,1791,2053,9592
"mathematics",2605,1961,1497,1815,7878
"visualization",1879,1413,1153,1207,5652
"AI composite",1568,1125,811,687,4191
"deep learning",1310,979,675,606,3570
"NLP composite",1212,910,660,582,3364
"software development",732,627,481,784,2624
"neural networks",671,485,421,305,1882
"data engineering",514,0,0,200,714
"project management",476,397,330,348,1551
"software engineering",413,295,250,512,1470
